priority,employer,sector,dfw_location,domain,target_role_families,ats,slug,checked_date,notes
EXAMPLE,EXAMPLE CO — delete this row,Example sector,Plano,example.com,Marketing,greenhouse,examplecoinc,2026-08-17,Verified: boards.greenhouse.io/examplecoinc returns JSON
1,Charles Schwab,Financial Services,Westlake,schwab.com,Financial analyst; client service associate; risk/compliance,icims,career-schwab.icims.com,,Enterprise HCM likely — check for myworkdayjobs.com
1,Fidelity Investments,Financial Services,Westlake,fidelity.com,Financial analyst; client service associate; operations associate,workday,wd1.myworkdaysite.com/recruiting/fmr/FidelityCareers,,Large DFW campus; heavy entry-level hiring
1,Goldman Sachs,Financial Services,Dallas,goldmansachs.com,Financial analyst; operations analyst; risk associate,proprietary,higher.gs.com,,Named in DFW market research as expanding
1,JPMorgan Chase,Financial Services,Plano,jpmorganchase.com,Financial analyst; credit analyst; operations associate,oracle_cloud,jpmc.fa.oraclecloud.com,,Enterprise HCM likely
1,Fisher Investments,Financial Services,Plano,fisherinvestments.com,Client service associate; financial analyst,icims,jobs-fishercareers.icims.com,,Named in market research (client service profiling)
1,Bank of America,Financial Services,Dallas / Fort Worth,bankofamerica.com,Credit analyst; operations associate; risk/compliance,workday,ghr.wd1.myworkdayjobs.com,,Enterprise HCM likely
1,Comerica,Financial Services,Dallas,comerica.com,Credit analyst; underwriting assistant; client service,workday,fifththird.wd5.myworkdayjobs.com,,Mid-size — worth checking non-Workday platforms
1,USAA,Financial Services / Insurance,Plano,usaa.com,Claims trainee; underwriting associate; client service,workday,usaa.wd1.myworkdayjobs.com,,Large Plano campus
1,Mr. Cooper Group,Financial Services,Coppell,mrcoopergroup.com,Underwriting assistant; operations associate; risk,proprietary,careers.mrcooper.com,,Mid-market — reasonable odds of a readable board
1,Capital One,Financial Services,Plano,capitalone.com,Data analyst; risk analyst; business analyst,workday,capitalone.wd12.myworkdayjobs.com,,
1,Globe Life,Insurance,McKinney,globelifeinsurance.com,Claims trainee; underwriting associate,workday,globelife.wd5.myworkdayjobs.com,,Smaller HQ headcount but entry-heavy
2,Deloitte,Consulting / Accounting,Dallas & Westlake,deloitte.com,Consulting analyst; audit associate; tax associate; business analyst,proprietary,apply.deloitte.com,,Deloitte University in Westlake; major DFW campus recruiter
2,PwC,Consulting / Accounting,Dallas,pwc.com,Audit associate; tax associate; consulting analyst,workday,pwc.wd3.myworkdayjobs.com,,
2,EY,Consulting / Accounting,Dallas,ey.com,Audit associate; tax associate; risk assurance associate,successfactors,career5.successfactors.eu/careers?company=EYHRISPRD1,,
